Country,TradeType,MonYear,Values
Slovenia,Trade Balance,12/1/2022,-2560
Czech Republic,Trade Balance,12/1/2022,-46106
Slovak Republic,Trade Balance,12/1/2022,-7898
Brunei Darussalam,Trade Balance,12/1/2022,-67224
Indonesia,Trade Balance,12/1/2022,1665525
Malaysia,Trade Balance,12/1/2022,-863191
Philippines,Trade Balance,12/1/2022,523771
Thailand,Trade Balance,12/1/2022,674025
Myanmar,Trade Balance,12/1/2022,442058
Cambodia,Trade Balance,12/1/2022,169131
Laos People's Democratic Republic,Trade Balance,12/1/2022,-2638
"Vietnam, Socialist Republic Of",Trade Balance,12/1/2022,1391395
Japan,Trade Balance,12/1/2022,-346662
Hong Kong,Trade Balance,12/1/2022,7163981
Republic Of Korea,Trade Balance,12/1/2022,-341604
Taiwan,Trade Balance,12/1/2022,-2589305
Macau,Trade Balance,12/1/2022,27943
Mainland China,Trade Balance,12/1/2022,-1268389
Afghanistan,Trade Balance,12/1/2022,153
Bangladesh,Trade Balance,12/1/2022,266767
India,Trade Balance,12/1/2022,868366
"Maldives, Republic Of",Trade Balance,12/1/2022,27828
Nepal,Trade Balance,12/1/2022,18471
Pakistan,Trade Balance,12/1/2022,176589
Sri Lanka,Trade Balance,12/1/2022,123312
Bahrain,Trade Balance,12/1/2022,-20786
Cyprus,Trade Balance,12/1/2022,27120
Iran,Trade Balance,12/1/2022,193
Israel,Trade Balance,12/1/2022,7029
Jordan,Trade Balance,12/1/2022,6747
Kuwait,Trade Balance,12/1/2022,45447
Lebanon,Trade Balance,12/1/2022,1397
Oman,Trade Balance,12/1/2022,-54390
Qatar,Trade Balance,12/1/2022,-575611
Saudi Arabia,Trade Balance,12/1/2022,-698269
Syrian Arab Republic,Trade Balance,12/1/2022,260
United Arab Emirates,Trade Balance,12/1/2022,-586528
Yemen,Trade Balance,12/1/2022,-63
Yemen Democratic,Trade Balance,12/1/2022,0
Canada,Trade Balance,12/1/2022,-97646
Puerto Rico,Trade Balance,12/1/2022,-4141
United States,Trade Balance,12/1/2022,-642991
Argentina,Trade Balance,12/1/2022,10846
Brazil,Trade Balance,12/1/2022,-776797
Chile,Trade Balance,12/1/2022,-8079
Colombia,Trade Balance,12/1/2022,4121
Ecuador,Trade Balance,12/1/2022,2774
Mexico,Trade Balance,12/1/2022,-52865
Paraguay,Trade Balance,12/1/2022,-118
Peru,Trade Balance,12/1/2022,8327
Uruguay,Trade Balance,12/1/2022,3187
Venezuela,Trade Balance,12/1/2022,-50
Australia,Trade Balance,12/1/2022,457944
Fiji,Trade Balance,12/1/2022,71128
New Caledonia,Trade Balance,12/1/2022,32528
New Zealand,Trade Balance,12/1/2022,275522
Papua New Guinea,Trade Balance,12/1/2022,61288
French Polynesia,Trade Balance,12/1/2022,2218
Guam,Trade Balance,12/1/2022,41115
Solomon Islands,Trade Balance,12/1/2022,6015
Other Countries In Oceania,Trade Balance,12/1/2022,689823
Norway,Trade Balance,12/1/2022,-50581
Liechtenstein,Trade Balance,12/1/2022,-2250
Netherlands Antilles,Trade Balance,12/1/2022,0
Panama,Trade Balance,12/1/2022,-127
Bahamas,Trade Balance,12/1/2022,-11
Bermuda,Trade Balance,12/1/2022,0
French Guiana,Trade Balance,12/1/2022,-123
Grenada,Trade Balance,12/1/2022,-6
Guatemala,Trade Balance,12/1/2022,-570
Honduras,Trade Balance,12/1/2022,-1457
Jamaica,Trade Balance,12/1/2022,-93
St Vincent & The Grenadines,Trade Balance,12/1/2022,0
Trinidad & Tobago,Trade Balance,12/1/2022,-64
Anguilla,Trade Balance,12/1/2022,0
Other Countries In America,Trade Balance,12/1/2022,-37931
Nauru,Trade Balance,12/1/2022,-14
Cocos,Trade Balance,12/1/2022,-2
French Southern Territories,Trade Balance,12/1/2022,-46
Norfolk Island,Trade Balance,12/1/2022,-1
Cook Islands,Trade Balance,12/1/2022,0
Kiribati,Trade Balance,12/1/2022,0
Niue,Trade Balance,12/1/2022,-80
Tuvalu,Trade Balance,12/1/2022,0
Wallis & Fatuna Islands,Trade Balance,12/1/2022,0
Micronesia,Trade Balance,12/1/2022,-29
Palau,Trade Balance,12/1/2022,-1
South Sudan,Trade Balance,12/1/2022,-33107
Commonwealth Of Independent States,Trade Balance,12/1/2022,-559381
Belgium,Imports,11/1/2022,121773
Denmark,Imports,11/1/2022,67436
France,Imports,11/1/2022,1563127
"Germany, Federal Republic Of",Imports,11/1/2022,1107630
Greece,Imports,11/1/2022,37937
Ireland,Imports,11/1/2022,118525
Italy,Imports,11/1/2022,725004
Luxembourg,Imports,11/1/2022,5714
Netherlands,Imports,11/1/2022,301384
United Kingdom,Imports,11/1/2022,1050419
Portugal,Imports,11/1/2022,33086
Spain,Imports,11/1/2022,245875
Austria,Imports,11/1/2022,105084
Finland,Imports,11/1/2022,49148
Sweden,Imports,11/1/2022,196484
Switzerland,Imports,11/1/2022,949410
Malta,Imports,11/1/2022,23080
"Germany, Democratic Republic Of",Imports,11/1/2022,0
Hungary,Imports,11/1/2022,46849
Poland,Imports,11/1/2022,59504
Estonia,Imports,11/1/2022,6972
Latvia,Imports,11/1/2022,6436
Lithuania,Imports,11/1/2022,8716
Slovenia,Imports,11/1/2022,8502
Czech Republic,Imports,11/1/2022,77729
Slovak Republic,Imports,11/1/2022,7487
Brunei Darussalam,Imports,11/1/2022,121051
Indonesia,Imports,11/1/2022,1971918
Malaysia,Imports,11/1/2022,6773423
