Country,MonYear,TradeType,Values
Luxembourg,11/1/2022,Imports,5714
Luxembourg,10/1/2020,Imports,14577
Luxembourg,10/1/2021,Imports,5167
Luxembourg,10/1/2022,Imports,15746
Luxembourg,9/1/2020,Imports,3471
Luxembourg,9/1/2021,Imports,7454
Luxembourg,9/1/2022,Imports,55482
Netherlands,4/1/2020,Imports,269347
Netherlands,4/1/2021,Imports,470044
Netherlands,4/1/2022,Imports,574480
Netherlands,8/1/2020,Imports,286459
Netherlands,8/1/2021,Imports,432933
Netherlands,8/1/2022,Imports,339001
Netherlands,12/1/2020,Imports,257892
Netherlands,12/1/2021,Imports,301866
Netherlands,12/1/2022,Imports,384010
Netherlands,2/1/2020,Imports,231398
Netherlands,2/1/2021,Imports,250998
Netherlands,2/1/2022,Imports,213278
Netherlands,1/1/2020,Imports,283975
Netherlands,1/1/2021,Imports,356221
Netherlands,1/1/2022,Imports,261220
Netherlands,7/1/2020,Imports,252322
Netherlands,7/1/2021,Imports,399429
Netherlands,7/1/2022,Imports,359653
Netherlands,6/1/2020,Imports,273072
Netherlands,6/1/2021,Imports,447162
Netherlands,6/1/2022,Imports,265196
Netherlands,3/1/2020,Imports,296540
Netherlands,3/1/2021,Imports,393519
Netherlands,3/1/2022,Imports,423978
Netherlands,5/1/2020,Imports,255200
Netherlands,5/1/2021,Imports,288247
Netherlands,5/1/2022,Imports,279506
Netherlands,11/1/2020,Imports,296798
Netherlands,11/1/2021,Imports,323512
Netherlands,11/1/2022,Imports,301384
Netherlands,10/1/2020,Imports,303736
Netherlands,10/1/2021,Imports,246274
Netherlands,10/1/2022,Imports,263199
Netherlands,9/1/2020,Imports,373881
Netherlands,9/1/2021,Imports,277208
Netherlands,9/1/2022,Imports,314814
United Kingdom,4/1/2020,Imports,849831
United Kingdom,4/1/2021,Imports,691934
United Kingdom,4/1/2022,Imports,873970
United Kingdom,8/1/2020,Imports,863043
United Kingdom,8/1/2021,Imports,649629
United Kingdom,8/1/2022,Imports,753406
United Kingdom,12/1/2020,Imports,755324
United Kingdom,12/1/2021,Imports,799724
United Kingdom,12/1/2022,Imports,940088
United Kingdom,2/1/2020,Imports,1321706
United Kingdom,2/1/2021,Imports,750573
United Kingdom,2/1/2022,Imports,769356
United Kingdom,1/1/2020,Imports,1104098
United Kingdom,1/1/2021,Imports,858409
United Kingdom,1/1/2022,Imports,948415
United Kingdom,7/1/2020,Imports,830637
United Kingdom,7/1/2021,Imports,793211
United Kingdom,7/1/2022,Imports,802819
United Kingdom,6/1/2020,Imports,739542
United Kingdom,6/1/2021,Imports,844336
United Kingdom,6/1/2022,Imports,909903
United Kingdom,3/1/2020,Imports,1136172
United Kingdom,3/1/2021,Imports,878956
United Kingdom,3/1/2022,Imports,886714
United Kingdom,5/1/2020,Imports,1104023
United Kingdom,5/1/2021,Imports,569827
United Kingdom,5/1/2022,Imports,985209
United Kingdom,11/1/2020,Imports,635420
United Kingdom,11/1/2021,Imports,1000940
United Kingdom,11/1/2022,Imports,1050419
United Kingdom,10/1/2020,Imports,802840
United Kingdom,10/1/2021,Imports,691322
United Kingdom,10/1/2022,Imports,859994
United Kingdom,9/1/2020,Imports,762179
United Kingdom,9/1/2021,Imports,682080
United Kingdom,9/1/2022,Imports,1131385
Portugal,4/1/2020,Imports,33372
Portugal,4/1/2021,Imports,21087
Portugal,4/1/2022,Imports,32570
Portugal,8/1/2020,Imports,29154
Portugal,8/1/2021,Imports,37947
Portugal,8/1/2022,Imports,45507
Portugal,12/1/2020,Imports,37606
Portugal,12/1/2021,Imports,40730
Portugal,12/1/2022,Imports,31026
Portugal,2/1/2020,Imports,25936
Portugal,2/1/2021,Imports,26206
Portugal,2/1/2022,Imports,26909
Portugal,1/1/2020,Imports,43064
Portugal,1/1/2021,Imports,31518
Portugal,1/1/2022,Imports,79995
Portugal,7/1/2020,Imports,39276
Portugal,7/1/2021,Imports,23965
Portugal,7/1/2022,Imports,46337
Portugal,6/1/2020,Imports,40270
