Sex,Planning Area,Age Group,Population,Pop_Proportion
Male,Hougang,40 - 44,8110,7.40%
Male,Hougang,45 - 49,8180,7.46%
Male,Hougang,50 - 54,9780,8.92%
Male,Hougang,55 - 59,9720,8.87%
Male,Hougang,60 - 64,7670,7.00%
Male,Hougang,65 - 69,5430,4.95%
Male,Hougang,70 - 74,2820,2.57%
Male,Hougang,75 - 79,2120,1.93%
Male,Hougang,80 - 84,1200,1.09%
Male,Hougang,85 & Over,730,0.67%
Male,Jurong East,0 - 4,1660,3.93%
Male,Jurong East,5 - 9,1960,4.64%
Male,Jurong East,10 - 14,2350,5.56%
Male,Jurong East,15 - 19,2570,6.08%
Male,Jurong East,20 - 24,2990,7.07%
Male,Jurong East,25 - 29,3300,7.81%
Male,Jurong East,30 - 34,3110,7.36%
Male,Jurong East,35 - 39,2900,6.86%
Male,Jurong East,40 - 44,3210,7.59%
Male,Jurong East,45 - 49,3170,7.50%
Male,Jurong East,50 - 54,3350,7.92%
Male,Jurong East,55 - 59,3450,8.16%
Male,Jurong East,60 - 64,3230,7.64%
Male,Jurong East,65 - 69,2390,5.65%
Male,Jurong East,70 - 74,1200,2.84%
Male,Jurong East,75 - 79,760,1.80%
Male,Jurong East,80 - 84,430,1.02%
Male,Jurong East,85 & Over,250,0.59%
Male,Jurong West,0 - 4,6850,4.98%
Male,Jurong West,5 - 9,8120,5.90%
Male,Jurong West,10 - 14,8630,6.27%
Male,Jurong West,15 - 19,9200,6.68%
Male,Jurong West,20 - 24,9750,7.08%
Male,Jurong West,25 - 29,9840,7.15%
Male,Jurong West,30 - 34,10680,7.76%
Male,Jurong West,35 - 39,11670,8.48%
Male,Jurong West,40 - 44,11790,8.57%
Male,Jurong West,45 - 49,11180,8.12%
Male,Jurong West,50 - 54,10940,7.95%
Male,Jurong West,55 - 59,9760,7.09%
Male,Jurong West,60 - 64,8040,5.84%
Male,Jurong West,65 - 69,5620,4.08%
Male,Jurong West,70 - 74,2540,1.85%
Male,Jurong West,75 - 79,1690,1.23%
Male,Jurong West,80 - 84,850,0.62%
Male,Jurong West,85 & Over,480,0.35%
Male,Kallang,0 - 4,2230,4.42%
Male,Kallang,5 - 9,2250,4.46%
Male,Kallang,10 - 14,2320,4.60%
Male,Kallang,15 - 19,2420,4.80%
Male,Kallang,20 - 24,2560,5.07%
Male,Kallang,25 - 29,2970,5.89%
Male,Kallang,30 - 34,3370,6.68%
Male,Kallang,35 - 39,3980,7.89%
Male,Kallang,40 - 44,4290,8.50%
Male,Kallang,45 - 49,4040,8.01%
Male,Kallang,50 - 54,4130,8.19%
Male,Kallang,55 - 59,4160,8.25%
Male,Kallang,60 - 64,3620,7.18%
Male,Kallang,65 - 69,3040,6.03%
Male,Kallang,70 - 74,1870,3.71%
Male,Kallang,75 - 79,1590,3.15%
Male,Kallang,80 - 84,930,1.84%
Male,Kallang,85 & Over,680,1.35%
Male,Lim Chu Kang,0 - 4,0,
Male,Lim Chu Kang,5 - 9,0,
Male,Lim Chu Kang,10 - 14,0,
Male,Lim Chu Kang,15 - 19,0,
Male,Lim Chu Kang,20 - 24,0,
Male,Lim Chu Kang,25 - 29,0,
Male,Lim Chu Kang,30 - 34,0,
Male,Lim Chu Kang,35 - 39,0,
Male,Lim Chu Kang,40 - 44,0,
Male,Lim Chu Kang,45 - 49,0,
Male,Lim Chu Kang,50 - 54,0,
Male,Lim Chu Kang,55 - 59,0,
Male,Lim Chu Kang,60 - 64,0,
Male,Lim Chu Kang,65 - 69,0,
Male,Lim Chu Kang,70 - 74,0,
Male,Lim Chu Kang,75 - 79,0,
Male,Lim Chu Kang,80 - 84,0,
Male,Lim Chu Kang,85 & Over,0,
Male,Mandai,0 - 4,50,5.00%
Male,Mandai,5 - 9,50,5.00%
Male,Mandai,10 - 14,70,7.00%
Male,Mandai,15 - 19,80,8.00%
Male,Mandai,20 - 24,60,6.00%
Male,Mandai,25 - 29,70,7.00%
Male,Mandai,30 - 34,70,7.00%
Male,Mandai,35 - 39,70,7.00%
Male,Mandai,40 - 44,90,9.00%
Male,Mandai,45 - 49,80,8.00%
Male,Mandai,50 - 54,80,8.00%
Male,Mandai,55 - 59,70,7.00%
Male,Mandai,60 - 64,50,5.00%
Male,Mandai,65 - 69,40,4.00%
Male,Mandai,70 - 74,30,3.00%
Male,Mandai,75 - 79,20,2.00%
Male,Mandai,80 - 84,10,1.00%
Male,Mandai,85 & Over,10,1.00%
Male,Marina East,0 - 4,0,
Male,Marina East,5 - 9,0,
Male,Marina East,10 - 14,0,
Male,Marina East,15 - 19,0,
Male,Marina East,20 - 24,0,
Male,Marina East,25 - 29,0,
Male,Marina East,30 - 34,0,
Male,Marina East,35 - 39,0,
Male,Marina East,40 - 44,0,
Male,Marina East,45 - 49,0,
Male,Marina East,50 - 54,0,
Male,Marina East,55 - 59,0,
Male,Marina East,60 - 64,0,
Male,Marina East,65 - 69,0,
Male,Marina East,70 - 74,0,
Male,Marina East,75 - 79,0,
Male,Marina East,80 - 84,0,
Male,Marina East,85 & Over,0,
Male,Marina South,0 - 4,0,
Male,Marina South,5 - 9,0,
Male,Marina South,10 - 14,0,
Male,Marina South,15 - 19,0,
Male,Marina South,20 - 24,0,
Male,Marina South,25 - 29,0,
Male,Marina South,30 - 34,0,
Male,Marina South,35 - 39,0,
Male,Marina South,40 - 44,0,
Male,Marina South,45 - 49,0,
Male,Marina South,50 - 54,0,
Male,Marina South,55 - 59,0,
Male,Marina South,60 - 64,0,
Male,Marina South,65 - 69,0,
Male,Marina South,70 - 74,0,
Male,Marina South,75 - 79,0,
Male,Marina South,80 - 84,0,
Male,Marina South,85 & Over,0,
Male,Marine Parade,0 - 4,1130,4.92%
Male,Marine Parade,5 - 9,1320,5.75%
Male,Marine Parade,10 - 14,1330,5.79%
Male,Marine Parade,15 - 19,1270,5.53%
Male,Marine Parade,20 - 24,1290,5.62%
Male,Marine Parade,25 - 29,1230,5.35%
Male,Marine Parade,30 - 34,1270,5.53%
Male,Marine Parade,35 - 39,1730,7.53%
Male,Marine Parade,40 - 44,2150,9.36%
Male,Marine Parade,45 - 49,1910,8.32%
Male,Marine Parade,50 - 54,1770,7.71%
Male,Marine Parade,55 - 59,1680,7.31%
Male,Marine Parade,60 - 64,1350,5.88%
Male,Marine Parade,65 - 69,1250,5.44%
Male,Marine Parade,70 - 74,800,3.48%
Male,Marine Parade,75 - 79,730,3.18%
Male,Marine Parade,80 - 84,440,1.92%
Male,Marine Parade,85 & Over,320,1.39%
Male,Museum,0 - 4,10,6.25%
Male,Museum,5 - 9,10,6.25%
Male,Museum,10 - 14,0,0.00%
Male,Museum,15 - 19,0,0.00%
Male,Museum,20 - 24,0,0.00%
Male,Museum,25 - 29,0,0.00%
Male,Museum,30 - 34,10,6.25%
Male,Museum,35 - 39,30,18.75%
Male,Museum,40 - 44,30,18.75%
Male,Museum,45 - 49,20,12.50%
Male,Museum,50 - 54,20,12.50%
Male,Museum,55 - 59,10,6.25%
Male,Museum,60 - 64,10,6.25%
Male,Museum,65 - 69,10,6.25%
Male,Museum,70 - 74,0,0.00%
Male,Museum,75 - 79,0,0.00%
Male,Museum,80 - 84,0,0.00%
Male,Museum,85 & Over,0,0.00%
Male,Newton,0 - 4,160,4.91%
Male,Newton,5 - 9,270,8.28%
Male,Newton,10 - 14,170,5.21%
Male,Newton,15 - 19,150,4.60%
Male,Newton,20 - 24,110,3.37%
Male,Newton,25 - 29,120,3.68%
Male,Newton,30 - 34,160,4.91%
Male,Newton,35 - 39,230,7.06%
Male,Newton,40 - 44,340,10.43%
Male,Newton,45 - 49,330,10.12%
Male,Newton,50 - 54,300,9.20%
Male,Newton,55 - 59,240,7.36%
Male,Newton,60 - 64,230,7.06%
Male,Newton,65 - 69,190,5.83%
Male,Newton,70 - 74,90,2.76%
Male,Newton,75 - 79,70,2.15%
Male,Newton,80 - 84,50,1.53%
Male,Newton,85 & Over,50,1.53%
Male,North-Eastern Islands,0 - 4,0,
Male,North-Eastern Islands,5 - 9,0,
Male,North-Eastern Islands,10 - 14,0,
Male,North-Eastern Islands,15 - 19,0,
Male,North-Eastern Islands,20 - 24,0,
Male,North-Eastern Islands,25 - 29,0,
Male,North-Eastern Islands,30 - 34,0,
Male,North-Eastern Islands,35 - 39,0,
Male,North-Eastern Islands,40 - 44,0,
Male,North-Eastern Islands,45 - 49,0,
Male,North-Eastern Islands,50 - 54,0,
Male,North-Eastern Islands,55 - 59,0,
Male,North-Eastern Islands,60 - 64,0,
Male,North-Eastern Islands,65 - 69,0,
Male,North-Eastern Islands,70 - 74,0,
Male,North-Eastern Islands,75 - 79,0,
Male,North-Eastern Islands,80 - 84,0,
Male,North-Eastern Islands,85 & Over,0,
Male,Novena,0 - 4,1150,4.96%
Male,Novena,5 - 9,1530,6.59%
Male,Novena,10 - 14,1310,5.65%
Male,Novena,15 - 19,1280,5.52%
Male,Novena,20 - 24,1250,5.39%
Male,Novena,25 - 29,1240,5.34%
Male,Novena,30 - 34,1350,5.82%
Male,Novena,35 - 39,1790,7.72%
Male,Novena,40 - 44,2220,9.57%
Male,Novena,45 - 49,1940,8.36%
Male,Novena,50 - 54,1870,8.06%
Male,Novena,55 - 59,1680,7.24%
Male,Novena,60 - 64,1380,5.95%
Male,Novena,65 - 69,1160,5.00%
Male,Novena,70 - 74,740,3.19%
Male,Novena,75 - 79,590,2.54%
Male,Novena,80 - 84,400,1.72%
Male,Novena,85 & Over,320,1.38%
Male,Orchard,0 - 4,20,4.88%
Male,Orchard,5 - 9,20,4.88%
Male,Orchard,10 - 14,20,4.88%
Male,Orchard,15 - 19,10,2.44%
Male,Orchard,20 - 24,0,0.00%
Male,Orchard,25 - 29,30,7.32%
Male,Orchard,30 - 34,30,7.32%
Male,Orchard,35 - 39,20,4.88%
Male,Orchard,40 - 44,40,9.76%
Male,Orchard,45 - 49,40,9.76%
Male,Orchard,50 - 54,40,9.76%
Male,Orchard,55 - 59,50,12.20%
Male,Orchard,60 - 64,30,7.32%
Male,Orchard,65 - 69,30,7.32%
Male,Orchard,70 - 74,10,2.44%
Male,Orchard,75 - 79,20,4.88%
Male,Orchard,80 - 84,0,0.00%
Male,Orchard,85 & Over,0,0.00%
Male,Outram,0 - 4,610,5.49%
Male,Outram,5 - 9,530,4.77%
Male,Outram,10 - 14,350,3.15%
Male,Outram,15 - 19,390,3.51%
Male,Outram,20 - 24,400,3.60%
Male,Outram,25 - 29,550,4.95%
Male,Outram,30 - 34,790,7.11%
Male,Outram,35 - 39,1040,9.36%
Male,Outram,40 - 44,920,8.28%
Male,Outram,45 - 49,770,6.93%
Male,Outram,50 - 54,910,8.19%
Male,Outram,55 - 59,920,8.28%
Male,Outram,60 - 64,840,7.56%
Male,Outram,65 - 69,750,6.75%
Male,Outram,70 - 74,480,4.32%
Male,Outram,75 - 79,410,3.69%
Male,Outram,80 - 84,240,2.16%
Male,Outram,85 & Over,210,1.89%
Male,Pasir Ris,0 - 4,2960,4.28%
Male,Pasir Ris,5 - 9,3650,5.27%
Male,Pasir Ris,10 - 14,4650,6.72%
Male,Pasir Ris,15 - 19,6340,9.16%
Male,Pasir Ris,20 - 24,6910,9.99%
Male,Pasir Ris,25 - 29,4620,6.68%
Male,Pasir Ris,30 - 34,3870,5.59%
Male,Pasir Ris,35 - 39,4160,6.01%
Male,Pasir Ris,40 - 44,4960,7.17%
Male,Pasir Ris,45 - 49,5760,8.32%
Male,Pasir Ris,50 - 54,7250,10.48%
Male,Pasir Ris,55 - 59,5460,7.89%
Male,Pasir Ris,60 - 64,3710,5.36%
Male,Pasir Ris,65 - 69,2210,3.19%
Male,Pasir Ris,70 - 74,1040,1.50%
Male,Pasir Ris,75 - 79,800,1.16%
Male,Pasir Ris,80 - 84,510,0.74%
Male,Pasir Ris,85 & Over,340,0.49%
Male,Paya Lebar,0 - 4,0,
Male,Paya Lebar,5 - 9,0,
Male,Paya Lebar,10 - 14,0,
Male,Paya Lebar,15 - 19,0,
Male,Paya Lebar,20 - 24,0,
Male,Paya Lebar,25 - 29,0,
Male,Paya Lebar,30 - 34,0,
Male,Paya Lebar,35 - 39,0,
Male,Paya Lebar,40 - 44,0,
Male,Paya Lebar,45 - 49,0,
Male,Paya Lebar,50 - 54,0,
Male,Paya Lebar,55 - 59,0,
Male,Paya Lebar,60 - 64,0,
Male,Paya Lebar,65 - 69,0,
Male,Paya Lebar,70 - 74,0,
Male,Paya Lebar,75 - 79,0,
Male,Paya Lebar,80 - 84,0,
Male,Paya Lebar,85 & Over,0,
Male,Pioneer,0 - 4,0,
Male,Pioneer,5 - 9,0,
Male,Pioneer,10 - 14,0,
Male,Pioneer,15 - 19,0,
Male,Pioneer,20 - 24,0,
Male,Pioneer,25 - 29,0,
Male,Pioneer,30 - 34,0,
Male,Pioneer,35 - 39,0,
Male,Pioneer,40 - 44,0,
Male,Pioneer,45 - 49,0,
Male,Pioneer,50 - 54,0,
Male,Pioneer,55 - 59,0,
Male,Pioneer,60 - 64,0,
Male,Pioneer,65 - 69,0,
Male,Pioneer,70 - 74,0,
Male,Pioneer,75 - 79,0,
Male,Pioneer,80 - 84,0,
Male,Pioneer,85 & Over,0,
Male,Punggol,0 - 4,6140,11.34%
Male,Punggol,5 - 9,4750,8.77%
Male,Punggol,10 - 14,3170,5.86%
Male,Punggol,15 - 19,2330,4.30%
Male,Punggol,20 - 24,1950,3.60%
Male,Punggol,25 - 29,2700,4.99%
Male,Punggol,30 - 34,7130,13.17%
Male,Punggol,35 - 39,6880,12.71%
Male,Punggol,40 - 44,5630,10.40%
Male,Punggol,45 - 49,3450,6.37%
Male,Punggol,50 - 54,2890,5.34%
Male,Punggol,55 - 59,2280,4.21%
Male,Punggol,60 - 64,1830,3.38%
Male,Punggol,65 - 69,1430,2.64%
Male,Punggol,70 - 74,700,1.29%
Male,Punggol,75 - 79,470,0.87%
Male,Punggol,80 - 84,270,0.50%
Male,Punggol,85 & Over,140,0.26%
Male,Queenstown,0 - 4,2310,4.99%
Male,Queenstown,5 - 9,2270,4.90%
Male,Queenstown,10 - 14,2190,4.73%
Male,Queenstown,15 - 19,2390,5.16%
Male,Queenstown,20 - 24,2560,5.53%
Male,Queenstown,25 - 29,2840,6.13%
Male,Queenstown,30 - 34,3380,7.30%
Male,Queenstown,35 - 39,3550,7.67%
Male,Queenstown,40 - 44,4000,8.64%
Male,Queenstown,45 - 49,3650,7.88%
Male,Queenstown,50 - 54,3790,8.19%
Male,Queenstown,55 - 59,3190,6.89%
Male,Queenstown,60 - 64,2840,6.13%
Male,Queenstown,65 - 69,2580,5.57%
Male,Queenstown,70 - 74,1640,3.54%
Male,Queenstown,75 - 79,1530,3.30%
Male,Queenstown,80 - 84,970,2.10%
Male,Queenstown,85 & Over,620,1.34%
Male,River Valley,0 - 4,190,4.40%
Male,River Valley,5 - 9,230,5.32%
Male,River Valley,10 - 14,240,5.56%
Male,River Valley,15 - 19,180,4.17%
Male,River Valley,20 - 24,200,4.63%
Male,River Valley,25 - 29,230,5.32%
Male,River Valley,30 - 34,260,6.02%
Male,River Valley,35 - 39,380,8.80%
Male,River Valley,40 - 44,500,11.57%
Male,River Valley,45 - 49,460,10.65%
Male,River Valley,50 - 54,350,8.10%
Male,River Valley,55 - 59,310,7.18%
Male,River Valley,60 - 64,250,5.79%
Male,River Valley,65 - 69,230,5.32%
Male,River Valley,70 - 74,120,2.78%
Male,River Valley,75 - 79,80,1.85%
Male,River Valley,80 - 84,60,1.39%
Male,River Valley,85 & Over,50,1.16%
Male,Rochor,0 - 4,260,3.48%
Male,Rochor,5 - 9,270,3.61%
Male,Rochor,10 - 14,270,3.61%
Male,Rochor,15 - 19,330,4.41%
Male,Rochor,20 - 24,300,4.01%
Male,Rochor,25 - 29,440,5.88%
Male,Rochor,30 - 34,520,6.95%
Male,Rochor,35 - 39,680,9.09%
Male,Rochor,40 - 44,690,9.22%
Male,Rochor,45 - 49,550,7.35%
Male,Rochor,50 - 54,630,8.42%
Male,Rochor,55 - 59,610,8.16%
Male,Rochor,60 - 64,520,6.95%
Male,Rochor,65 - 69,420,5.61%
Male,Rochor,70 - 74,310,4.14%
Male,Rochor,75 - 79,240,3.21%
Male,Rochor,80 - 84,190,2.54%
Male,Rochor,85 & Over,250,3.34%
Male,Seletar,0 - 4,10,7.69%
Male,Seletar,5 - 9,10,7.69%
Male,Seletar,10 - 14,10,7.69%
Male,Seletar,15 - 19,10,7.69%
Male,Seletar,20 - 24,0,0.00%
Male,Seletar,25 - 29,0,0.00%
Male,Seletar,30 - 34,0,0.00%
Male,Seletar,35 - 39,10,7.69%
Male,Seletar,40 - 44,20,15.38%
Male,Seletar,45 - 49,20,15.38%
Male,Seletar,50 - 54,20,15.38%
Male,Seletar,55 - 59,10,7.69%
Male,Seletar,60 - 64,10,7.69%
Male,Seletar,65 - 69,0,0.00%
Male,Seletar,70 - 74,0,0.00%
Male,Seletar,75 - 79,0,0.00%
Male,Seletar,80 - 84,0,0.00%
Male,Seletar,85 & Over,0,0.00%
Male,Sembawang,0 - 4,2270,6.00%
Male,Sembawang,5 - 9,2750,7.27%
Male,Sembawang,10 - 14,2770,7.32%
Male,Sembawang,15 - 19,2490,6.58%
Male,Sembawang,20 - 24,2290,6.05%
Male,Sembawang,25 - 29,2520,6.66%
Male,Sembawang,30 - 34,2930,7.74%
Male,Sembawang,35 - 39,3390,8.96%
Male,Sembawang,40 - 44,3710,9.80%
Male,Sembawang,45 - 49,3150,8.32%
Male,Sembawang,50 - 54,2930,7.74%
Male,Sembawang,55 - 59,2470,6.53%
Male,Sembawang,60 - 64,1750,4.62%
Male,Sembawang,65 - 69,1070,2.83%
Male,Sembawang,70 - 74,570,1.51%
Male,Sembawang,75 - 79,390,1.03%
Male,Sembawang,80 - 84,230,0.61%
Male,Sembawang,85 & Over,170,0.45%
Male,Sengkang,0 - 4,7880,7.74%
Male,Sengkang,5 - 9,7700,7.56%
Male,Sengkang,10 - 14,6510,6.39%
Male,Sengkang,15 - 19,6110,6.00%
Male,Sengkang,20 - 24,5450,5.35%
Male,Sengkang,25 - 29,6460,6.34%
Male,Sengkang,30 - 34,9700,9.52%
Male,Sengkang,35 - 39,10270,10.08%
Male,Sengkang,40 - 44,9800,9.62%
Male,Sengkang,45 - 49,7670,7.53%
Male,Sengkang,50 - 54,6890,6.76%
Male,Sengkang,55 - 59,6290,6.18%
Male,Sengkang,60 - 64,4620,4.54%
Male,Sengkang,65 - 69,3090,3.03%
Male,Sengkang,70 - 74,1570,1.54%
Male,Sengkang,75 - 79,1030,1.01%
Male,Sengkang,80 - 84,480,0.47%
Male,Sengkang,85 & Over,340,0.33%
Male,Serangoon,0 - 4,2100,3.59%
Male,Serangoon,5 - 9,2610,4.46%
Male,Serangoon,10 - 14,3210,5.49%
Male,Serangoon,15 - 19,4090,7.00%
Male,Serangoon,20 - 24,4660,7.97%
Male,Serangoon,25 - 29,4550,7.78%
Male,Serangoon,30 - 34,3630,6.21%
Male,Serangoon,35 - 39,3500,5.99%
Male,Serangoon,40 - 44,3980,6.81%
Male,Serangoon,45 - 49,4080,6.98%
Male,Serangoon,50 - 54,4700,8.04%
Male,Serangoon,55 - 59,5190,8.88%
Male,Serangoon,60 - 64,4540,7.76%
Male,Serangoon,65 - 69,3320,5.68%
Male,Serangoon,70 - 74,1690,2.89%
Male,Serangoon,75 - 79,1310,2.24%
Male,Serangoon,80 - 84,790,1.35%
Male,Serangoon,85 & Over,520,0.89%
Male,Simpang,0 - 4,0,
Male,Simpang,5 - 9,0,
Male,Simpang,10 - 14,0,
Male,Simpang,15 - 19,0,
Male,Simpang,20 - 24,0,
Male,Simpang,25 - 29,0,
Male,Simpang,30 - 34,0,
Male,Simpang,35 - 39,0,
Male,Simpang,40 - 44,0,
Male,Simpang,45 - 49,0,
Male,Simpang,50 - 54,0,
Male,Simpang,55 - 59,0,
Male,Simpang,60 - 64,0,
Male,Simpang,65 - 69,0,
Male,Simpang,70 - 74,0,
Male,Simpang,75 - 79,0,
Male,Simpang,80 - 84,0,
Male,Simpang,85 & Over,0,
Male,Singapore River,0 - 4,80,6.20%
Male,Singapore River,5 - 9,80,6.20%
Male,Singapore River,10 - 14,50,3.88%
Male,Singapore River,15 - 19,40,3.10%
Male,Singapore River,20 - 24,30,2.33%
Male,Singapore River,25 - 29,30,2.33%
Male,Singapore River,30 - 34,110,8.53%
Male,Singapore River,35 - 39,180,13.95%
Male,Singapore River,40 - 44,200,15.50%
Male,Singapore River,45 - 49,150,11.63%
Male,Singapore River,50 - 54,120,9.30%
Male,Singapore River,55 - 59,60,4.65%
Male,Singapore River,60 - 64,50,3.88%
Male,Singapore River,65 - 69,50,3.88%
Male,Singapore River,70 - 74,30,2.33%
Male,Singapore River,75 - 79,10,0.78%
Male,Singapore River,80 - 84,0,0.00%
Male,Singapore River,85 & Over,20,1.55%
Male,Southern Islands,0 - 4,50,7.04%
Male,Southern Islands,5 - 9,30,4.23%
Male,Southern Islands,10 - 14,40,5.63%
Male,Southern Islands,15 - 19,20,2.82%
Male,Southern Islands,20 - 24,40,5.63%
Male,Southern Islands,25 - 29,30,4.23%
Male,Southern Islands,30 - 34,20,2.82%
Male,Southern Islands,35 - 39,60,8.45%
Male,Southern Islands,40 - 44,70,9.86%
Male,Southern Islands,45 - 49,100,14.08%
Male,Southern Islands,50 - 54,110,15.49%
Male,Southern Islands,55 - 59,60,8.45%
Male,Southern Islands,60 - 64,40,5.63%
Male,Southern Islands,65 - 69,20,2.82%
Male,Southern Islands,70 - 74,10,1.41%
Male,Southern Islands,75 - 79,10,1.41%
Male,Southern Islands,80 - 84,0,0.00%
Male,Southern Islands,85 & Over,0,0.00%
Male,Straits View,0 - 4,0,
Male,Straits View,5 - 9,0,
Male,Straits View,10 - 14,0,
Male,Straits View,15 - 19,0,
Male,Straits View,20 - 24,0,
Male,Straits View,25 - 29,0,
Male,Straits View,30 - 34,0,
Male,Straits View,35 - 39,0,
Male,Straits View,40 - 44,0,
Male,Straits View,45 - 49,0,
Male,Straits View,50 - 54,0,
Male,Straits View,55 - 59,0,
Male,Straits View,60 - 64,0,
Male,Straits View,65 - 69,0,
Male,Straits View,70 - 74,0,
Male,Straits View,75 - 79,0,
Male,Straits View,80 - 84,0,
Male,Straits View,85 & Over,0,
Male,Sungei Kadut,0 - 4,20,4.88%
Male,Sungei Kadut,5 - 9,10,2.44%
Male,Sungei Kadut,10 - 14,20,4.88%
Male,Sungei Kadut,15 - 19,20,4.88%
Male,Sungei Kadut,20 - 24,20,4.88%
Male,Sungei Kadut,25 - 29,30,7.32%
Male,Sungei Kadut,30 - 34,20,4.88%
Male,Sungei Kadut,35 - 39,20,4.88%
Male,Sungei Kadut,40 - 44,20,4.88%
Male,Sungei Kadut,45 - 49,30,7.32%
Male,Sungei Kadut,50 - 54,20,4.88%
Male,Sungei Kadut,55 - 59,40,9.76%
Male,Sungei Kadut,60 - 64,30,7.32%
Male,Sungei Kadut,65 - 69,40,9.76%
Male,Sungei Kadut,70 - 74,30,7.32%
Male,Sungei Kadut,75 - 79,30,7.32%
Male,Sungei Kadut,80 - 84,10,2.44%
Male,Sungei Kadut,85 & Over,0,0.00%
Male,Tampines,0 - 4,5850,4.56%
Male,Tampines,5 - 9,6330,4.94%
Male,Tampines,10 - 14,7010,5.47%
Male,Tampines,15 - 19,9400,7.33%
Male,Tampines,20 - 24,10980,8.56%
Male,Tampines,25 - 29,10310,8.04%
Male,Tampines,30 - 34,9090,7.09%
Male,Tampines,35 - 39,8730,6.81%
Male,Tampines,40 - 44,8720,6.80%
Male,Tampines,45 - 49,9260,7.22%
Male,Tampines,50 - 54,10910,8.51%
Male,Tampines,55 - 59,10960,8.55%
Male,Tampines,60 - 64,8850,6.90%
Male,Tampines,65 - 69,5750,4.48%
Male,Tampines,70 - 74,2520,1.97%
Male,Tampines,75 - 79,1830,1.43%
Male,Tampines,80 - 84,1050,0.82%
Male,Tampines,85 & Over,670,0.52%
Male,Tanglin,0 - 4,460,5.26%
Male,Tanglin,5 - 9,580,6.63%
Male,Tanglin,10 - 14,510,5.83%
Male,Tanglin,15 - 19,440,5.03%
Male,Tanglin,20 - 24,420,4.80%
Male,Tanglin,25 - 29,380,4.34%
Male,Tanglin,30 - 34,450,5.14%
Male,Tanglin,35 - 39,670,7.66%
Male,Tanglin,40 - 44,930,10.63%
Male,Tanglin,45 - 49,880,10.06%
Male,Tanglin,50 - 54,760,8.69%
Male,Tanglin,55 - 59,610,6.97%
Male,Tanglin,60 - 64,540,6.17%
Male,Tanglin,65 - 69,460,5.26%
Male,Tanglin,70 - 74,270,3.09%
Male,Tanglin,75 - 79,170,1.94%
Male,Tanglin,80 - 84,120,1.37%
Male,Tanglin,85 & Over,100,1.14%
Male,Tengah,0 - 4,0,
Male,Tengah,5 - 9,0,
Male,Tengah,10 - 14,0,
Male,Tengah,15 - 19,0,
Male,Tengah,20 - 24,0,
Male,Tengah,25 - 29,0,
Male,Tengah,30 - 34,0,
Male,Tengah,35 - 39,0,
Male,Tengah,40 - 44,0,
Male,Tengah,45 - 49,0,
Male,Tengah,50 - 54,0,
Male,Tengah,55 - 59,0,
Male,Tengah,60 - 64,0,
Male,Tengah,65 - 69,0,
Male,Tengah,70 - 74,0,
Male,Tengah,75 - 79,0,
Male,Tengah,80 - 84,0,
Male,Tengah,85 & Over,0,
Male,Toa Payoh,0 - 4,2620,4.37%
Male,Toa Payoh,5 - 9,2930,4.88%
Male,Toa Payoh,10 - 14,2960,4.93%
Male,Toa Payoh,15 - 19,3290,5.48%
Male,Toa Payoh,20 - 24,3720,6.20%
Male,Toa Payoh,25 - 29,3650,6.08%
Male,Toa Payoh,30 - 34,3890,6.48%
Male,Toa Payoh,35 - 39,4270,7.12%
Male,Toa Payoh,40 - 44,4850,8.08%
Male,Toa Payoh,45 - 49,4620,7.70%
Male,Toa Payoh,50 - 54,4800,8.00%
Male,Toa Payoh,55 - 59,4930,8.22%
Male,Toa Payoh,60 - 64,4010,6.68%
Male,Toa Payoh,65 - 69,3350,5.58%
Male,Toa Payoh,70 - 74,2220,3.70%
Male,Toa Payoh,75 - 79,1930,3.22%
Male,Toa Payoh,80 - 84,1130,1.88%
Male,Toa Payoh,85 & Over,830,1.38%
Male,Tuas,0 - 4,0,
Male,Tuas,5 - 9,0,
Male,Tuas,10 - 14,0,
Male,Tuas,15 - 19,0,
Male,Tuas,20 - 24,0,
Male,Tuas,25 - 29,0,
Male,Tuas,30 - 34,0,
Male,Tuas,35 - 39,0,
Male,Tuas,40 - 44,0,
Male,Tuas,45 - 49,0,
Male,Tuas,50 - 54,0,
Male,Tuas,55 - 59,0,
Male,Tuas,60 - 64,0,
Male,Tuas,65 - 69,0,
Male,Tuas,70 - 74,0,
Male,Tuas,75 - 79,0,
Male,Tuas,80 - 84,0,
Male,Tuas,85 & Over,0,
Male,Western Islands,0 - 4,0,
Male,Western Islands,5 - 9,0,
Male,Western Islands,10 - 14,0,
Male,Western Islands,15 - 19,0,
Male,Western Islands,20 - 24,0,
Male,Western Islands,25 - 29,0,
Male,Western Islands,30 - 34,0,
Male,Western Islands,35 - 39,0,
Male,Western Islands,40 - 44,0,
Male,Western Islands,45 - 49,0,
Male,Western Islands,50 - 54,0,
Male,Western Islands,55 - 59,0,
Male,Western Islands,60 - 64,0,
Male,Western Islands,65 - 69,0,
Male,Western Islands,70 - 74,0,
Male,Western Islands,75 - 79,0,
Male,Western Islands,80 - 84,0,
Male,Western Islands,85 & Over,0,
Male,Western Water Catchment,0 - 4,30,7.32%
Male,Western Water Catchment,5 - 9,20,4.88%
Male,Western Water Catchment,10 - 14,30,7.32%
Male,Western Water Catchment,15 - 19,20,4.88%
Male,Western Water Catchment,20 - 24,20,4.88%
