Sex,Planning Area,Age Group,Population,Pop_Proportion
Female,Newton,85 & Over,60,1.62%
Female,North-Eastern Islands,0 - 4,0,
Female,North-Eastern Islands,5 - 9,0,
Female,North-Eastern Islands,10 - 14,0,
Female,North-Eastern Islands,15 - 19,0,
Female,North-Eastern Islands,20 - 24,0,
Female,North-Eastern Islands,25 - 29,0,
Female,North-Eastern Islands,30 - 34,0,
Female,North-Eastern Islands,35 - 39,0,
Female,North-Eastern Islands,40 - 44,0,
Female,North-Eastern Islands,45 - 49,0,
Female,North-Eastern Islands,50 - 54,0,
Female,North-Eastern Islands,55 - 59,0,
Female,North-Eastern Islands,60 - 64,0,
Female,North-Eastern Islands,65 - 69,0,
Female,North-Eastern Islands,70 - 74,0,
Female,North-Eastern Islands,75 - 79,0,
Female,North-Eastern Islands,80 - 84,0,
Female,North-Eastern Islands,85 & Over,0,
Female,Novena,0 - 4,1120,4.51%
Female,Novena,5 - 9,1250,5.03%
Female,Novena,10 - 14,1190,4.79%
Female,Novena,15 - 19,1270,5.11%
Female,Novena,20 - 24,1330,5.35%
Female,Novena,25 - 29,1410,5.68%
Female,Novena,30 - 34,1680,6.76%
Female,Novena,35 - 39,2190,8.82%
Female,Novena,40 - 44,2320,9.34%
Female,Novena,45 - 49,1960,7.89%
Female,Novena,50 - 54,1850,7.45%
Female,Novena,55 - 59,1680,6.76%
Female,Novena,60 - 64,1480,5.96%
Female,Novena,65 - 69,1290,5.19%
Female,Novena,70 - 74,840,3.38%
Female,Novena,75 - 79,790,3.18%
Female,Novena,80 - 84,580,2.33%
Female,Novena,85 & Over,610,2.46%
Female,Orchard,0 - 4,20,4.08%
Female,Orchard,5 - 9,30,6.12%
Female,Orchard,10 - 14,20,4.08%
Female,Orchard,15 - 19,20,4.08%
Female,Orchard,20 - 24,20,4.08%
Female,Orchard,25 - 29,30,6.12%
Female,Orchard,30 - 34,30,6.12%
Female,Orchard,35 - 39,40,8.16%
Female,Orchard,40 - 44,50,10.20%
Female,Orchard,45 - 49,50,10.20%
Female,Orchard,50 - 54,40,8.16%
Female,Orchard,55 - 59,40,8.16%
Female,Orchard,60 - 64,40,8.16%
Female,Orchard,65 - 69,40,8.16%
